# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 0, 'nu': 0, 'N_nmda': 1, 'nu_nmda': 1}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
# pannel: scan_nu_nmda
N,v_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,corr_coef_x_s,i_nmda_mean,i_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
27,-69.91791972685554412692,0.02934879694214752657,0.05399999999999986755,0.72972972972969929462,-69.90225697159436890615,0.01553926202277338200,0.02574840277593609325,0.00004985400105456097,0.05664737180485104190,0.02903919293632959905,0.63940999201590587031,0.03059902652429387360,0.24632081971423872013,-0.00179971799872435338,0.00000024324333264778,0.00000000000000000000,0,,,
28,-69.91711673416320138585,0.02963625708233614056,0.05599999999999986239,0.73684210526312821088,-69.90583220916978746118,0.01298454441746567205,0.02501077206099108774,0.00006189867733904693,0.05263157894731126940,0.02412094907101177202,0.62171537162448542446,0.03823495096482765893,0.20652965696240360716,-0.00174859424544757309,0.00000030252675857679,0.00000000000000000000,0,,,
29,-69.91635486694117673778,0.02990900098438708729,0.05799999999999986416,0.74358974358971474672,-69.90763135275324202667,0.01254298921614887229,0.02424808780124170643,0.00010833399740944750,0.06105263157894730980,0.03035059488514119802,0.60307986808092128861,0.06688499675353117013,0.24913978498988961774,-0.00169549405575252724,0.00000052942147879394,0.00000000000000000000,0,,,
30,-69.91563104469473444169,0.03016813051937635576,0.05999999999999986594,0.74999999999997191136,-69.89768772576066169222,0.01244450825315077634,0.02810174426707550549,0.00006107412025470400,0.08420989390473393454,0.04090224508509164580,0.69836065096428301402,0.03765049269198302018,0.24628255492562864393,-0.00196456801158030213,0.00000029835498082033,0.00000000000000000000,0,,,
31,-69.91494248709321368551,0.03041464023418774532,0.06199999999999986772,0.75609756097558233900,-69.90176300996446911995,0.01459154881148983646,0.02588471728377956041,0.00005382702448073490,0.05894738638634237915,0.03180015219692153283,0.64295277224183788878,0.03322187385865199571,0.26412311376602393143,-0.00180935720962389240,0.00000026301335536736,0.00000000000000000000,0,,,
32,-69.91428667827931064949,0.03064943010785583719,0.06399999999999972378,0.76190476190473477303,-69.89816072421695025696,0.01599014211967520957,0.02695320756004239079,0.00003683035386015191,0.05685928041212782308,0.02900218096877254029,0.66907727636004543648,0.02230715276086603707,0.25141964153477369681,-0.00188375649584955986,0.00000017909596457565,0.00000000000000000000,0,,,
33,-69.91366133615265709977,0.03087331653072189139,0.06599999999999972555,0.76744186046508977572,-69.89576017661055118424,0.01549420346137947609,0.02809664400096915579,0.00004103075957150405,0.06942285375042053785,0.03915131144269016344,0.69734408242255863097,0.02485221451667128309,0.23582676762099791246,-0.00196359133626366816,0.00000019952185564982,0.00000000000000000000,0,,,
34,-69.91306438583720250790,0.03108704178870729321,0.06799999999999972733,0.77272727272724683889,-69.89719693122607679925,0.01330519588361917492,0.02804987462878032189,0.00003956389155731475,0.06975857015984339438,0.03868788148063173615,0.69670737408353011766,0.02457934373476282700,0.23217920932031305137,-0.00196068603728616906,0.00000019362168834355,0.00000000000000000000,0,,,
35,-69.91249393668222467113,0.03129128228489667235,0.06999999999999972911,0.77777777777775247703,-69.89955852144871073506,0.01238958394136606932,0.02705912508349336831,0.00005262887692094170,0.06736842105263153579,0.03465527957525737363,0.67258109984049874175,0.03251504632168320669,0.23353651229116764720,-0.00189176826054610254,0.00000025723457903346,0.00000000000000000000,0,,,
36,-69.91194826225989800150,0.03148665569029980571,0.07199999999999973088,0.78260869565214918886,-69.89681812530857030197,0.01349557134442591448,0.02816648027078931874,0.00003143922384078457,0.06874253522769133151,0.03432160805740333553,0.69937666134486009550,0.01926945624177340416,0.22222850264377946861,-0.00196868145356995927,0.00000015334461095667,0.00000000000000000000,0,,,
